Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
143,331,115,5,4.0,3.5,9.44,1,5
144,340,120,4,4.5,4.0,9.92,1,5
145,325,112,2,3.0,3.5,8.96,1,4
146,320,113,2,2.0,2.5,8.64,1,5
147,315,105,3,2.0,2.5,8.48,0,4
148,326,114,3,3.0,3.0,9.11,1,5
149,339,116,4,4.0,3.5,9.8,1,5
150,311,106,2,3.5,3.0,8.26,1,4
151,334,114,4,4.0,4.0,9.43,1,5
152,332,116,5,5.0,5.0,9.28,1,5
153,321,112,5,5.0,5.0,9.06,1,5
154,324,105,3,3.0,4.0,8.75,0,4
155,326,108,3,3.0,3.5,8.89,0,4
156,312,109,3,3.0,3.0,8.69,0,4
157,315,105,3,2.0,2.5,8.34,0,4
158,309,104,2,2.0,2.5,8.26,0,4
159,306,106,2,2.0,2.5,8.14,0,4
160,297,100,1,1.5,2.0,7.9,0,3
161,315,103,1,1.5,2.0,7.86,0,3
162,298,99,1,1.5,3.0,7.46,0,3
163,318,109,3,3.0,3.0,8.5,0,4
164,317,105,3,3.5,3.0,8.56,0,4
165,329,111,4,4.5,4.0,9.01,1,5
166,322,110,5,4.5,4.0,8.97,0,4
167,302,102,3,3.5,5.0,8.33,0,4
168,313,102,3,2.0,3.0,8.27,0,4
169,293,97,2,2.0,4.0,7.8,1,4
170,311,99,2,2.5,3.0,7.98,0,4
171,312,101,2,2.5,3.5,8.04,1,4
172,334,117,5,4.0,4.5,9.07,1,5
173,322,110,4,4.0,5.0,9.13,1,5
174,323,113,4,4.0,4.5,9.23,1,5
175,321,111,4,4.0,4.0,8.97,1,5
176,320,111,4,4.5,3.5,8.87,1,5
177,329,119,4,4.5,4.5,9.16,1,5
178,319,110,3,3.5,3.5,9.04,0,5
179,309,108,3,2.5,3.0,8.12,0,4
180,307,102,3,3.0,3.0,8.27,0,4
181,300,104,3,3.5,3.0,8.16,0,4
182,305,107,2,2.5,2.5,8.42,0,4
183,299,100,2,3.0,3.5,7.88,0,4
184,314,110,3,4.0,4.0,8.8,0,4
185,316,106,2,2.5,4.0,8.32,0,4
186,327,113,4,4.5,4.5,9.11,1,5
187,317,107,3,3.5,3.0,8.68,1,5
188,335,118,5,4.5,3.5,9.44,1,5
189,331,115,5,4.5,3.5,9.36,1,5
190,324,112,5,5.0,5.0,9.08,1,5
191,324,111,5,4.5,4.0,9.16,1,5
192,323,110,5,4.0,5.0,8.98,1,5
193,322,114,5,4.5,4.0,8.94,1,5
194,336,118,5,4.5,5.0,9.53,1,5
195,316,109,3,3.5,3.0,8.76,0,4
196,307,107,2,3.0,3.5,8.52,1,4
197,306,105,2,3.0,2.5,8.26,0,4
198,310,106,2,3.5,2.5,8.33,0,4
199,311,104,3,4.5,4.5,8.43,0,4
200,313,107,3,4.0,4.5,8.69,0,4
201,317,103,3,2.5,3.0,8.54,1,4
202,315,110,2,3.5,3.0,8.46,1,4
203,340,120,5,4.5,4.5,9.91,1,5
204,334,120,5,4.0,5.0,9.87,1,5
205,298,105,3,3.5,4.0,8.54,0,4
206,295,99,2,2.5,3.0,7.65,0,3
207,315,99,2,3.5,3.0,7.89,0,4
208,310,102,3,3.5,4.0,8.02,1,4
209,305,106,2,3.0,3.0,8.16,0,4
210,301,104,3,3.5,4.0,8.12,1,4
211,325,108,4,4.5,4.0,9.06,1,4
212,328,110,4,5.0,4.0,9.14,1,5
213,338,120,4,5.0,5.0,9.66,1,5
214,333,119,5,5.0,4.5,9.78,1,5
215,331,117,4,4.5,5.0,9.42,1,5
216,330,116,5,5.0,4.5,9.36,1,5
217,322,112,4,4.5,4.5,9.26,1,5
218,321,109,4,4.0,4.0,9.13,1,5
219,324,110,4,3.0,3.5,8.97,1,5
220,312,104,3,3.5,3.5,8.42,0,4
221,313,103,3,4.0,4.0,8.75,0,4
222,316,110,3,3.5,4.0,8.56,0,4
223,324,113,4,4.5,4.0,8.79,0,4
224,308,109,2,3.0,4.0,8.45,0,4
225,305,105,2,3.0,2.0,8.23,0,4
226,296,99,2,2.5,2.5,8.03,0,4
227,306,110,2,3.5,4.0,8.45,0,4
228,312,110,2,3.5,3.0,8.53,0,4
229,318,112,3,4.0,3.5,8.67,0,4
230,324,111,4,3.0,3.0,9.01,1,5
231,313,104,3,4.0,4.5,8.65,0,4
232,319,106,3,3.5,2.5,8.33,1,4
233,312,107,2,2.5,3.5,8.27,0,4
234,304,100,2,2.5,3.5,8.07,0,4
235,330,113,5,5.0,4.0,9.31,1,5
236,326,111,5,4.5,4.0,9.23,1,5
237,325,112,4,4.0,4.5,9.17,1,5
238,329,114,5,4.5,5.0,9.19,1,5
239,310,104,3,2.0,3.5,8.37,0,4
240,299,100,1,1.5,2.0,7.89,0,3
241,296,101,1,2.5,3.0,7.68,0,3
242,317,103,2,2.5,2.0,8.15,0,4
243,324,115,3,3.5,3.0,8.76,1,4
244,325,114,3,3.5,3.0,9.04,1,4
245,314,107,2,2.5,4.0,8.56,0,4
246,328,110,4,4.0,2.5,9.02,1,5
247,316,105,3,3.0,3.5,8.73,0,4
248,311,104,2,2.5,3.5,8.48,0,4
249,324,110,3,3.5,4.0,8.87,1,4
250,321,111,3,3.5,4.0,8.83,1,4
251,320,104,3,3.0,2.5,8.57,1,4
252,316,99,2,2.5,3.0,9.0,0,4
253,318,100,2,2.5,3.5,8.54,1,4
254,335,115,4,4.5,4.5,9.68,1,5
255,321,114,4,4.0,5.0,9.12,0,5
256,307,110,4,4.0,4.5,8.37,0,4
257,309,99,3,4.0,4.0,8.56,0,4
258,324,100,3,4.0,5.0,8.64,1,4
259,326,102,4,5.0,5.0,8.76,1,4
260,331,119,4,5.0,4.5,9.34,1,5
261,327,108,5,5.0,3.5,9.13,1,5
262,312,104,3,3.5,4.0,8.09,0,4
263,308,103,2,2.5,4.0,8.36,1,4
264,324,111,3,2.5,1.5,8.79,1,4
265,325,110,2,3.0,2.5,8.76,1,4
266,313,102,3,2.5,2.5,8.68,0,4
267,312,105,2,2.0,2.5,8.45,0,4
268,314,107,3,3.0,3.5,8.17,1,4
269,327,113,4,4.5,5.0,9.14,0,5
270,308,108,4,4.5,5.0,8.34,0,4
271,306,105,2,2.5,3.0,8.22,1,4
272,299,96,2,1.5,2.0,7.86,0,3
273,294,95,1,1.5,1.5,7.64,0,3
274,312,99,1,1.0,1.5,8.01,1,3
275,315,100,1,2.0,2.5,7.95,0,3
276,322,110,3,3.5,3.0,8.96,1,4
277,329,113,5,5.0,4.5,9.45,1,5
278,320,101,2,2.5,3.0,8.62,0,4
279,308,103,2,3.0,3.5,8.49,0,4
280,304,102,2,3.0,4.0,8.73,0,4
281,311,102,3,4.5,4.0,8.64,1,4
282,317,110,3,4.0,4.5,9.11,1,4
283,312,106,3,4.0,3.5,8.79,1,5
284,321,111,3,2.5,3.0,8.9,1,4
285,340,112,4,5.0,4.5,9.66,1,5
286,331,116,5,4.0,4.0,9.26,1,5
287,336,118,5,4.5,4.0,9.19,1,5
288,324,114,5,5.0,4.5,9.08,1,5
289,314,104,4,5.0,5.0,9.02,0,5
290,313,109,3,4.0,3.5,9.0,0,4
291,307,105,2,2.5,3.0,7.65,0,3
292,300,102,2,1.5,2.0,7.87,0,3
293,302,99,2,1.0,2.0,7.97,0,3
294,312,98,1,3.5,3.0,8.18,1,4
295,316,101,2,2.5,2.0,8.32,1,4
296,317,100,2,3.0,2.5,8.57,0,4
297,310,107,3,3.5,3.5,8.67,0,4
298,320,120,3,4.0,4.5,9.11,0,5
299,330,114,3,4.5,4.5,9.24,1,5
300,305,112,3,3.0,3.5,8.65,0,4
301,309,106,2,2.5,2.5,8.0,0,4
302,319,108,2,2.5,3.0,8.76,0,4
303,322,105,2,3.0,3.0,8.45,1,4
304,323,107,3,3.5,3.5,8.55,1,4
305,313,106,2,2.5,2.0,8.43,0,4
306,321,109,3,3.5,3.5,8.8,1,4
307,323,110,3,4.0,3.5,9.1,1,4
308,325,112,4,4.0,4.0,9.0,1,4
309,312,108,3,3.5,3.0,8.53,0,4
310,308,110,4,3.5,3.0,8.6,0,4
311,320,104,3,3.0,3.5,8.74,1,4
312,328,108,4,4.5,4.0,9.18,1,5
313,311,107,4,4.5,4.5,9.0,1,4
314,301,100,3,3.5,3.0,8.04,0,4
315,305,105,2,3.0,4.0,8.13,0,4
316,308,104,2,2.5,3.0,8.07,0,4
317,298,101,2,1.5,2.0,7.86,0,3
318,300,99,1,1.0,2.5,8.01,0,3
319,324,111,3,2.5,2.0,8.8,1,4
320,327,113,4,3.5,3.0,8.69,1,4
321,317,106,3,4.0,3.5,8.5,1,4
322,323,104,3,4.0,4.0,8.44,1,4
323,314,107,2,2.5,4.0,8.27,0,4
324,305,102,2,2.0,2.5,8.18,0,4
325,315,104,3,3.0,2.5,8.33,0,4
326,326,116,3,3.5,4.0,9.14,1,5
327,299,100,3,2.0,2.0,8.02,0,4
328,295,101,2,2.5,2.0,7.86,0,4
329,324,112,4,4.0,3.5,8.77,1,4
330,297,96,2,2.5,1.5,7.89,0,3
331,327,113,3,3.5,3.0,8.66,1,4
332,311,105,2,3.0,2.0,8.12,1,4
333,308,106,3,3.5,2.5,8.21,1,4
334,319,108,3,3.0,3.5,8.54,1,4
335,312,107,4,4.5,4.0,8.65,1,4
336,325,111,4,4.0,4.5,9.11,1,5
337,319,110,3,3.0,2.5,8.79,0,4
338,332,118,5,5.0,5.0,9.47,1,5
339,323,108,5,4.0,4.0,8.74,1,5
340,324,107,5,3.5,4.0,8.66,1,5
341,312,107,3,3.0,3.0,8.46,1,4
342,326,110,3,3.5,3.5,8.76,1,4
343,308,106,3,3.0,3.0,8.24,0,3
344,305,103,2,2.5,3.5,8.13,0,3
345,295,96,2,1.5,2.0,7.34,0,3
346,316,98,1,1.5,2.0,7.43,0,3
347,304,97,2,1.5,2.0,7.64,0,3
348,299,94,1,1.0,1.0,7.34,0,3
349,302,99,1,2.0,2.0,7.25,0,3
350,313,101,3,2.5,3.0,8.04,0,4
351,318,107,3,3.0,3.5,8.27,1,4
352,325,110,4,3.5,4.0,8.67,1,4
353,303,100,2,3.0,3.5,8.06,1,4
354,300,102,3,3.5,2.5,8.17,0,4
355,297,98,2,2.5,3.0,7.67,0,3
356,317,106,2,2.0,3.5,8.12,0,4
357,327,109,3,3.5,4.0,8.77,1,4
358,301,104,2,3.5,3.5,7.89,1,4
359,314,105,2,2.5,2.0,7.64,0,4
360,321,107,2,2.0,1.5,8.44,0,5
361,322,110,3,4.0,5.0,8.64,1,5
362,334,116,4,4.0,3.5,9.54,1,5
363,338,115,5,4.5,5.0,9.23,1,5
364,306,103,2,2.5,3.0,8.36,0,4
365,313,102,3,3.5,4.0,8.9,1,4
366,330,114,4,4.5,3.0,9.17,1,5
367,320,104,3,3.5,4.5,8.34,1,4
368,311,98,1,1.0,2.5,7.46,0,3
369,298,92,1,2.0,2.0,7.88,0,3
370,301,98,1,2.0,3.0,8.03,1,4
371,310,103,2,2.5,2.5,8.24,0,4
372,324,110,3,3.5,3.0,9.22,1,5
373,336,119,4,4.5,4.0,9.62,1,5
374,321,109,3,3.0,3.0,8.54,1,4
375,315,105,2,2.0,2.5,7.65,0,2
376,304,101,2,2.0,2.5,7.66,0,2
377,297,96,2,2.5,2.0,7.43,0,2
378,290,100,1,1.5,2.0,7.56,0,3
379,303,98,1,2.0,2.5,7.65,0,3
380,311,99,1,2.5,3.0,8.43,1,4
381,322,104,3,3.5,4.0,8.84,1,4
382,319,105,3,3.0,3.5,8.67,1,4
383,324,110,4,4.5,4.0,9.15,1,5
384,300,100,3,3.0,3.5,8.26,0,4
385,340,113,4,5.0,5.0,9.74,1,5
386,335,117,5,5.0,5.0,9.82,1,5
387,302,101,2,2.5,3.5,7.96,0,3
388,307,105,2,2.0,3.5,8.1,0,3
389,296,97,2,1.5,2.0,7.8,0,3
390,320,108,3,3.5,4.0,8.44,1,4
391,314,102,2,2.0,2.5,8.24,0,4
392,318,106,3,2.0,3.0,8.65,0,4
393,326,112,4,4.0,3.5,9.12,1,5
394,317,104,2,3.0,3.0,8.76,0,4
395,329,111,4,4.5,4.0,9.23,1,5
396,324,110,3,3.5,3.5,9.04,1,5
397,325,107,3,3.0,3.5,9.11,1,5
398,330,116,4,5.0,4.5,9.45,1,5
399,312,103,3,3.5,4.0,8.78,0,4
400,333,117,4,5.0,4.0,9.66,1,5
401,304,100,2,3.5,3.0,8.22,0,4
402,315,105,2,3.0,3.0,8.34,0,4
403,324,109,3,3.5,3.0,8.94,1,4
404,330,116,4,4.0,3.5,9.23,1,5
405,311,101,3,2.0,2.5,7.64,1,4
406,302,99,3,2.5,3.0,7.45,0,3
407,322,103,4,3.0,2.5,8.02,1,4
408,298,100,3,2.5,4.0,7.95,1,3
409,297,101,3,2.0,4.0,7.67,1,3
410,300,98,1,2.0,2.5,8.02,0,4
411,301,96,1,3.0,4.0,7.56,0,3
412,313,94,2,2.5,1.5,8.13,0,3
413,314,102,4,2.5,2.0,7.88,1,3
414,317,101,3,3.0,2.0,7.94,1,3
415,321,110,4,3.5,4.0,8.35,1,4
416,327,106,4,4.0,4.5,8.75,1,4
417,315,104,3,4.0,2.5,8.1,0,4
418,316,103,3,3.5,2.0,7.68,0,3
419,309,111,2,2.5,4.0,8.03,0,3
420,308,102,2,2.0,3.5,7.98,1,3
421,299,100,3,2.0,3.0,7.42,0,3
422,321,112,3,3.0,4.5,8.95,1,4
423,322,112,4,3.5,2.5,9.02,1,4
424,334,119,5,4.5,5.0,9.54,1,5
425,325,114,5,4.0,5.0,9.46,1,5
426,323,111,5,4.0,5.0,9.86,1,5
427,312,106,3,3.0,5.0,8.57,0,4
428,310,101,3,3.5,5.0,8.65,1,4
429,316,103,2,2.0,4.5,8.74,0,4
430,340,115,5,5.0,4.5,9.06,1,5
431,311,104,3,4.0,3.5,8.13,1,4
432,320,112,2,3.5,3.5,8.78,1,4
433,324,112,4,4.5,4.0,9.22,1,5
434,316,111,4,4.0,5.0,8.54,0,4
435,306,103,3,3.5,3.0,8.21,0,4
436,309,105,2,2.5,4.0,7.68,0,3
437,310,110,1,1.5,4.0,7.23,1,3
438,317,106,1,1.5,3.5,7.65,1,4
439,318,110,1,2.5,3.5,8.54,1,4
440,312,105,2,1.5,3.0,8.46,0,4
441,305,104,2,2.5,1.5,7.79,0,3
442,332,112,1,1.5,3.0,8.66,1,4
443,331,116,4,4.5,4.5,9.44,1,5
444,321,114,5,4.5,4.5,9.16,1,5
445,324,113,5,4.0,5.0,9.25,1,5
446,328,116,5,4.5,5.0,9.08,1,5
447,327,118,4,5.0,5.0,9.67,1,5
448,320,108,3,3.5,5.0,8.97,1,5
449,312,109,2,2.5,4.0,9.02,0,4
450,315,101,3,3.5,4.5,9.13,0,4
451,320,112,4,3.0,4.5,8.86,1,5
452,324,113,4,4.5,4.5,9.25,1,5
453,328,116,4,5.0,3.5,9.6,1,5
454,319,103,3,2.5,4.0,8.76,1,4
455,310,105,2,3.0,3.5,8.01,0,4
456,305,102,2,1.5,2.5,7.64,0,3
457,299,100,2,2.0,2.0,7.88,0,3
458,295,99,1,2.0,1.5,7.57,0,2
459,312,100,1,3.0,3.0,8.53,1,4
460,329,113,4,4.0,3.5,9.36,1,5
461,319,105,4,4.0,4.5,8.66,1,4
462,301,102,3,2.5,2.0,8.13,1,4
463,307,105,4,3.0,3.0,7.94,0,4
464,304,107,3,3.5,3.0,7.86,0,3
465,298,97,2,2.0,3.0,7.21,0,3
466,305,96,4,3.0,4.5,8.26,0,3
467,314,99,4,3.5,4.5,8.73,1,4
468,318,101,5,3.5,5.0,8.78,1,4
469,323,110,4,4.0,5.0,8.88,1,5
470,326,114,4,4.0,3.5,9.16,1,5
471,320,110,5,4.0,4.0,9.27,1,5
472,311,103,3,2.0,4.0,8.09,0,4
473,327,116,4,4.0,4.5,9.48,1,5
474,316,102,2,4.0,3.5,8.15,0,4
475,308,105,4,3.0,2.5,7.95,1,4
476,300,101,3,3.5,2.5,7.88,0,3
477,304,104,3,2.5,2.0,8.12,0,4
478,309,105,4,3.5,2.0,8.18,0,4
479,318,103,3,4.0,4.5,8.49,1,4
480,325,110,4,4.5,4.0,8.96,1,4
481,321,102,3,3.5,4.0,9.01,1,4
482,323,107,4,3.0,2.5,8.48,1,4
483,328,113,4,4.0,2.5,8.77,1,5
484,304,103,5,5.0,3.0,7.92,0,4
485,317,106,3,3.5,3.0,7.89,1,4
486,311,101,2,2.5,3.5,8.34,1,4
487,319,102,3,2.5,2.5,8.37,0,4
488,327,115,4,3.5,4.0,9.14,0,4
489,322,112,3,3.0,4.0,8.62,1,4
490,302,110,3,4.0,4.5,8.5,0,4
491,307,105,2,2.5,4.5,8.12,1,4
492,297,99,4,3.0,3.5,7.81,0,3
493,298,101,4,2.5,4.5,7.69,1,3
494,300,95,2,3.0,1.5,8.22,1,4
495,301,99,3,2.5,2.0,8.45,1,4
496,332,108,5,4.5,4.0,9.02,1,5
497,337,117,5,5.0,5.0,9.87,1,5
498,330,120,5,4.5,5.0,9.56,1,5
499,312,103,4,4.0,5.0,8.43,0,4
500,327,113,4,4.5,4.5,9.04,0,5
